# data from ifeffit
#------------------------
#   r         chir_mag       chir_mag      chir_re       chir_re
  9.5106809       0.19041685E-01   0.20846514E-03  -0.18916537E-01  -0.88207688E-04
  9.5413605       0.16957824E-01   0.20383486E-03  -0.16171993E-01  -0.80193736E-04
  9.5720401       0.14685040E-01   0.20536709E-03  -0.11188174E-01  -0.75127232E-04
  9.6027197       0.12349778E-01   0.21025826E-03  -0.58235793E-02  -0.66667208E-04
  9.6333993       0.10041831E-01   0.21307120E-03  -0.14113731E-02  -0.51792995E-04
  9.6640790       0.77908699E-02   0.20982997E-03   0.14153902E-02  -0.33362540E-04
  9.6947586       0.55639547E-02   0.20045663E-03   0.25271778E-02  -0.17963386E-04
  9.7254382       0.33119392E-02   0.18903927E-03   0.20545369E-02  -0.10769577E-04
  9.7561178       0.13464583E-02   0.18176164E-03   0.34692238E-03  -0.11477132E-04
  9.7867974       0.25343455E-02   0.18235055E-03  -0.18886238E-02  -0.14530460E-04
  9.8174770       0.53303084E-02   0.18856097E-03  -0.35234875E-02  -0.13461928E-04
  9.8481567       0.83692624E-02   0.19438899E-03  -0.32683715E-02  -0.59227514E-05
  9.8788363       0.11411800E-01   0.19519246E-03  -0.26093591E-03   0.45638241E-05
  9.9095159       0.14264718E-01   0.19084198E-03   0.53219453E-02   0.11523756E-04
  9.9401955       0.16745889E-01   0.18614426E-03   0.12047476E-01   0.10860304E-04
  9.9708751       0.18701652E-01   0.18823895E-03   0.17645594E-01   0.44411356E-05
